% Model:              Main1-recovery1.mph
% Version:            COMSOL 6.3.0.290
% Date:               Nov 13 2025, 18:33
% Table:              Table 1 - 
% mesh_scale                                      Eigenfrequency (THz)                              Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)                                Frequency (THz)                                   Quality factor (1)
1.8                                               470.72257551160305+1.3793362259799031i            470.72257551160305                                170.63373187969233                                470.72257551160305                                170.63373187969233                                470.72257551160305                                170.63373187969233
1.8                                               470.72633392280176+2.1258313043322055i            470.72633392280176                                110.7158251370921                                 470.72633392280176                                110.7158251370921                                 470.72633392280176                                110.7158251370921
1.8                                               471.13409723961644+2.7775370797401036i            471.13409723961644                                84.81148652814761                                 471.13409723961644                                84.81148652814761                                 471.13409723961644                                84.81148652814761
1.8                                               471.5222053746596+1.6355169128820959i             471.5222053746596                                 144.1508191265802                                 471.5222053746596                                 144.1508191265802                                 471.5222053746596                                 144.1508191265802
1.8                                               472.1157146721046+2.144705259119413i              472.1157146721046                                 110.06540704477707                                472.1157146721046                                 110.06540704477707                                472.1157146721046                                 110.06540704477707
1.8                                               472.5207576370677+2.46523936510743i               472.5207576370677                                 95.83668919234465                                 472.5207576370677                                 95.83668919234465                                 472.5207576370677                                 95.83668919234465
1.8                                               472.93164858096804+3.7379980851832775i            472.93164858096804                                63.260017501825416                                472.93164858096804                                63.260017501825416                                472.93164858096804                                63.260017501825416
1.8                                               473.1614127591963+1.4824417007828536i             473.1614127591963                                 159.58853980879226                                473.1614127591963                                 159.58853980879226                                473.1614127591963                                 159.58853980879226
1.8                                               473.1718595100014+2.069921035229253i              473.1718595100014                                 114.2970798056544                                 473.1718595100014                                 114.2970798056544                                 473.1718595100014                                 114.2970798056544
1.8                                               473.36880904326813+3.3812641746962244i            473.36880904326813                                69.99879107135956                                 473.36880904326813                                69.99879107135956                                 473.36880904326813                                69.99879107135956
1.8                                               473.99161903659274+1.6933844277378418i            473.99161903659274                                139.95393227685122                                473.99161903659274                                139.95393227685122                                473.99161903659274                                139.95393227685122
